label,CORPORACION EL ROSADO S.A.,CORPORACION FAVORITA S.A,GERARDO ORTIZ CORAL,MEGA SANTAMARIA S.A.,TIENDAS INDUSTRIALES ASOCIADAS TIA S.A.
BIOMBO,0.6818181818181818,0.0,0.0,0.3181818181818182,0.0
CABECERA,0.11962833914053426,0.0011614401858304297,0.3333333333333333,0.14518002322880372,0.40069686411149824
CHECK_OUT,0.0,0.0,0.30708661417322836,0.6929133858267716,0.0
CHECK_OUT_SIMPLE,0.0,0.0,0.0,0.0,1.0
CHECK_OUT__LATERAL_DOBLE,0.0,0.0,0.0,0.0,1.0
CHICLERA,0.0,0.0,0.0,0.0,1.0
FINAL_DE_GONDOLA,0.0,1.0,0.0,0.0,0.0
GANCHERA,0.0,0.0,0.0,1.0,0.0
ISLA,0.18181818181818182,0.0,0.0,0.8181818181818182,0.0
LATERAL_DE_CABECERA,0.0,0.0,0.0,0.0,1.0
RUMA,0.0,0.0,0.0,0.0,1.0
